task_type,metric,model,scenario,fraction,n,mean_degradation,median_degradation,std_degradation,ci95_low,ci95_high,positive_rate,expected_direction,p_expected_direction,q_expected_direction,supports_expected
classification,pr_auc,rf,random_label_noise,0.01,81,0.0011513420564300844,0.001552366256548754,0.012690658423908777,-0.0016124013336656043,0.003915085446525773,0.6419753086419753,degrade,0.0006634558202081335,0.0008349106950933815,True
classification,pr_auc,rf,random_label_noise,0.02,81,0.0012257481866202937,0.0027097524348747015,0.015840462837220688,-0.002223952609041101,0.004675448982281688,0.6790123456790124,degrade,0.0001509840630634752,0.0001981665827708112,True
classification,pr_auc,rf,random_label_noise,0.05,81,0.004191667065116523,0.004544119378843137,0.015527730734791866,0.0008100723717618498,0.007573261758471196,0.8271604938271605,degrade,8.542409381044184e-08,1.4719228471953054e-07,True
classification,pr_auc,rf,random_label_noise,0.1,81,0.012421420213870878,0.010941088857814751,0.017685898925781388,0.00856982444781182,0.016273015979929938,0.9012345679012346,degrade,6.7373904063111894e-12,1.728063493527145e-11,True
classification,pr_auc,rf,random_label_noise,0.2,81,0.022339287746333942,0.021403016257770524,0.019102539650126305,0.018179179111417546,0.02649939638125034,0.9135802469135802,degrade,2.130607942612218e-12,6.066815836590722e-12,True
classification,pr_auc,rf,random_label_noise,0.5,81,0.09378342215581913,0.08943348920375915,0.05206752654797111,0.08244427192981653,0.10512257238182172,0.9629629629629629,degrade,4.193182068004856e-15,3.6125876278195683e-14,True
classification,pr_auc,rf,random_label_noise,1.0,81,0.32870298405274717,0.38290341089944085,0.14977534009528132,0.2960852433208859,0.3613207247846084,1.0,degrade,2.6813131325564844e-15,3.1699809871514794e-14,True
classification,pr_auc,torch_mlp,cliffs,0.01,81,-0.0008061815148818999,0.0,0.010256142988716452,-0.0030397415435357046,0.001427378513771905,0.3333333333333333,degrade,0.24185523804449854,0.24476915657515516,False
classification,pr_auc,torch_mlp,cliffs,0.02,81,0.0006684951166139411,0.0,0.009221348712117267,-0.0013397097140249305,0.0026766999472528125,0.4691358024691358,degrade,0.017281850304972896,0.01935567234156964,True
classification,pr_auc,torch_mlp,cliffs,0.05,81,0.0015779765855986664,0.0,0.009385959581211877,-0.00046607683430969745,0.00362203000550703,0.48148148148148145,degrade,0.03460069440015685,0.0376240560467725,True
classification,pr_auc,torch_mlp,cliffs,0.1,81,0.004554572574472549,0.0,0.017643805217122572,0.000712143882743634,0.008397001266201465,0.4691358024691358,degrade,0.03451764910412039,0.0376240560467725,True
classification,pr_auc,torch_mlp,cliffs,0.2,81,0.0070304069035106295,0.0053337868253198195,0.01649807122306359,0.003437493614932336,0.010623320192088923,0.6790123456790124,degrade,3.187188405354393e-05,4.443548980079154e-05,True
classification,pr_auc,torch_mlp,cliffs,0.5,81,0.019535437920518234,0.011035305558679376,0.03847935708354485,0.011155489044546245,0.02791538679649022,0.7407407407407407,degrade,6.963357291363542e-08,1.2122736009834975e-07,True
