family,task_type,metric,model,scenario,fraction,n,mean_degradation,median_degradation,positive_rate
moleculenet,classification,pr_auc,lgbm,contamination,0.2,9,-0.062319291988253415,-0.06203635537240615,0.0
moleculenet,classification,pr_auc,lgbm,contamination,0.5,9,-0.143476324771305,-0.11349982647243384,0.0
moleculenet,classification,pr_auc,lgbm,contamination,1.0,9,-0.2665092541235816,-0.20564087935240227,0.0
moleculenet,classification,pr_auc,lgbm,random_label_noise,0.01,9,0.008014679852845616,-0.00018278055304582486,0.4444444444444444
moleculenet,classification,pr_auc,lgbm,random_label_noise,0.02,9,0.010012180334853757,0.012542720512715544,0.7777777777777778
moleculenet,classification,pr_auc,lgbm,random_label_noise,0.05,9,0.012099310041188175,0.01407597294613161,0.8888888888888888
moleculenet,classification,pr_auc,lgbm,random_label_noise,0.1,9,0.018540289880393315,0.0083826668143544,0.8888888888888888
moleculenet,classification,pr_auc,lgbm,random_label_noise,0.2,9,0.03476424281061584,0.03907835869892812,0.7777777777777778
moleculenet,classification,pr_auc,lgbm,random_label_noise,0.5,9,0.12351983881805152,0.12363183229068181,1.0
moleculenet,classification,pr_auc,lgbm,random_label_noise,1.0,9,0.32648193713529744,0.3806175484262306,1.0
moleculenet,classification,pr_auc,rf,cliffs,0.01,9,0.002673046731956224,0.0008933203261720646,0.6666666666666666
moleculenet,classification,pr_auc,rf,cliffs,0.02,9,0.00024653928849349693,0.00013410035062449976,0.5555555555555556
moleculenet,classification,pr_auc,rf,cliffs,0.05,9,0.0036590118853315943,0.0009692277372558289,0.6666666666666666
moleculenet,classification,pr_auc,rf,cliffs,0.1,9,0.00961358056953351,0.0016780797416143245,0.6666666666666666
moleculenet,classification,pr_auc,rf,cliffs,0.2,9,0.005064362670376521,0.004428252700564017,0.6666666666666666
moleculenet,classification,pr_auc,rf,cliffs,0.5,9,0.0287946340972188,0.00904665671169258,0.5555555555555556
moleculenet,classification,pr_auc,rf,cliffs,1.0,9,0.0628493236849384,0.0454336961606599,1.0
moleculenet,classification,pr_auc,rf,conflicts,0.01,9,0.002234538619612215,0.0009595360870445768,0.6666666666666666
moleculenet,classification,pr_auc,rf,conflicts,0.02,9,0.009431186001826445,0.004579672713835858,0.6666666666666666
moleculenet,classification,pr_auc,rf,conflicts,0.05,9,0.017578975637340566,0.011165201295936122,0.7777777777777778
moleculenet,classification,pr_auc,rf,conflicts,0.1,9,0.03094922073769144,0.016012382279610438,0.8888888888888888
moleculenet,classification,pr_auc,rf,conflicts,0.2,9,0.04143673233787878,0.020113801515004304,0.8888888888888888
moleculenet,classification,pr_auc,rf,conflicts,0.5,9,0.07959110344376431,0.08330524772864345,1.0
moleculenet,classification,pr_auc,rf,conflicts,1.0,9,0.33188907678547835,0.3693495763547746,1.0
moleculenet,classification,pr_auc,rf,contamination,0.01,9,-0.007041533292344433,-0.00669889168071669,0.2222222222222222
moleculenet,classification,pr_auc,rf,contamination,0.02,9,-0.004375523904884469,-0.005483672263709383,0.2222222222222222
moleculenet,classification,pr_auc,rf,contamination,0.05,9,-0.0221144212004981,-0.018215259530770855,0.1111111111111111
moleculenet,classification,pr_auc,rf,contamination,0.1,9,-0.027987893894477606,-0.011198033459430268,0.2222222222222222
moleculenet,classification,pr_auc,rf,contamination,0.2,9,-0.07691182601925146,-0.0663289331534811,0.0
moleculenet,classification,pr_auc,rf,contamination,0.5,9,-0.17035246959641995,-0.14532097055733506,0.0
moleculenet,classification,pr_auc,rf,contamination,1.0,9,-0.28976498229590186,-0.2362282257424364,0.0
moleculenet,classification,pr_auc,rf,random_label_noise,0.01,9,0.00546413541764942,0.00230296901642868,0.5555555555555556
moleculenet,classification,pr_auc,rf,random_label_noise,0.02,9,0.0019187291981603788,0.003682520597042549,0.6666666666666666
moleculenet,classification,pr_auc,rf,random_label_noise,0.05,9,0.006379598305243255,0.005375902941721744,0.6666666666666666
moleculenet,classification,pr_auc,rf,random_label_noise,0.1,9,0.014617072930286733,0.01369783695771487,0.7777777777777778
moleculenet,classification,pr_auc,rf,random_label_noise,0.2,9,0.02561862835929407,0.03155796550035761,0.8888888888888888
moleculenet,classification,pr_auc,rf,random_label_noise,0.5,9,0.1023551521453448,0.1356604399258452,1.0
moleculenet,classification,pr_auc,rf,random_label_noise,1.0,9,0.32051457683617157,0.372079344835542,1.0
moleculenet,classification,pr_auc,torch_mlp,cliffs,0.01,9,-0.0040256479158448195,2.7421420870532565e-05,0.5555555555555556
moleculenet,classification,pr_auc,torch_mlp,cliffs,0.02,9,-0.005020332285983343,4.319630680393871e-05,0.5555555555555556
moleculenet,classification,pr_auc,torch_mlp,cliffs,0.05,9,0.007162412282703824,0.007175622463243547,0.5555555555555556
