family,dataset,task_type,model,scenario,seed,fraction,baseline_value,metric,metric_direction,observed_value,degradation,relative_degradation
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0,0.1,0.8767842981760507,roc_auc,higher,0.876486915146709,0.00029738302934179117,0.00033917467495760194
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0,0.2,0.8767842981760507,roc_auc,higher,0.901268834258525,-0.02448453608247425,-0.027925381571509356
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0,0.5,0.8767842981760507,roc_auc,higher,0.9569785884218872,-0.08019429024583646,-0.09146410401356679
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0,1.0,0.8767842981760507,roc_auc,higher,1.0,-0.12321570182394925,-0.1405313736574336
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0,0.01,0.883624107850912,roc_auc,higher,0.8869944488501189,-0.0033703409992068556,-0.003814224814897774
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0,0.02,0.883624107850912,roc_auc,higher,0.8858049167327517,-0.002180808881839691,-0.0024680278214043974
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0,0.05,0.883624107850912,roc_auc,higher,0.884020618556701,-0.0003965107057889439,-0.0004487323311643331
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0,0.1,0.883624107850912,roc_auc,higher,0.8834258524980174,0.00019825535289463847,0.00022436616558235502
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0,0.2,0.883624107850912,roc_auc,higher,0.9060269627279935,-0.02240285487708149,-0.025353376710791794
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0,0.5,0.883624107850912,roc_auc,higher,0.954203013481364,-0.070578905630452,-0.0798743549472739
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0,1.0,0.883624107850912,roc_auc,higher,1.0,-0.11637589214908794,-0.13170293919676904
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0,0.01,0.8298969072164949,roc_auc,higher,0.8350515463917526,-0.005154639175257714,-0.00621118012422358
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0,0.02,0.8298969072164949,roc_auc,higher,0.8283108643933386,0.0015860428231563306,0.0019111323459150816
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0,0.05,0.8298969072164949,roc_auc,higher,0.8431800158604282,-0.013283108643933339,-0.01600573339703769
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0,0.1,0.8298969072164949,roc_auc,higher,0.8402061855670103,-0.010309278350515427,-0.01242236024844716
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0,0.2,0.8298969072164949,roc_auc,higher,0.8703409992069786,-0.04044409199048371,-0.0487338748208313
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0,0.5,0.8298969072164949,roc_auc,higher,0.9270420301348136,-0.09714512291831867,-0.11705685618729081
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0,1.0,0.8298969072164949,roc_auc,higher,1.0,-0.1701030927835051,-0.2049689440993788
