fraction,pearson_r_mean,pearson_r_std,spearman_r_mean,spearman_r_std,kendall_tau_mean,kendall_tau_std,r2_mean,r2_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,n_points
0.48,0.3797807154105199,0.21013267898373256,0.45605401237217663,0.1634489967660613,0.3222374756945004,0.1401855727579324,-0.10298434263529026,0.5135941563743557,0.5732870739390981,0.5028417109351391,0.6990444244310415,0.31421005879209835,0.5183261231041933,0.2224664086401969,7
0.49,0.40727017090791773,0.18013806734244553,0.4478783438853196,0.15191601720015713,0.32280444525374946,0.12149701493582513,0.06920270523940443,0.3252320018930242,0.47455863830416106,0.3869751869600247,0.6441467783901207,0.26376598319865796,0.4973516328895918,0.20461426337211955,7
0.5,0.41145345548894957,0.2181249806827175,0.46213944028920556,0.2335496149665782,0.33603508773331087,0.16932583336345935,0.008706576215302813,0.5002703948412525,0.4668500667502603,0.29485902027202193,0.6482948434995793,0.23307618157118148,0.4838902752189043,0.1889459398507414,7
0.51,0.3944741358123037,0.15804328069044793,0.4557800790347097,0.18878109469405271,0.3195090121714596,0.1441935791352629,-0.0028819707916896936,0.31672165945646985,0.5036176944936142,0.37224354711258417,0.6676518638628904,0.25981107951040094,0.5076144202804811,0.19918254259139118,7
0.52,0.4313377296525417,0.15635611502294247,0.4827183636638627,0.16284914505490866,0.33901493243916736,0.131258250255841,0.03521496731384063,0.29213676152954454,0.47940972172059443,0.328052530956136,0.6541099282012359,0.24523779780863691,0.49988503634970327,0.19014950695474467,7
0.53,0.38059820855056575,0.21792778519913608,0.430290963828369,0.18478717084953886,0.3097078295926388,0.15020532669070086,-0.07060837347915959,0.4357664269913385,0.541698321838483,0.408158339195418,0.688218816028651,0.28177185857777276,0.5074610688256216,0.20080795168281143,7
0.54,0.37825791653703655,0.18114228097633245,0.403662591877226,0.20193544235588598,0.2831836289330237,0.16434578822991838,0.01432737767559354,0.30579259159215977,0.49764895452902724,0.36559532503715525,0.6636653421466926,0.2583217880655784,0.5150476087404501,0.2073939926405013,7
0.55,0.40495506236913575,0.20605389844918645,0.4748724738911029,0.15086268566635175,0.34205463891344173,0.13210425915662133,-0.1013305129940563,0.514437715359082,0.5700564221834598,0.4863932956741607,0.6979808716695357,0.31095387513484607,0.5143936347799927,0.2179515188202434,7
0.56,0.39711465734705087,0.18696311316674843,0.4454047503149026,0.17322354792501637,0.31365347320580356,0.1407410933217956,-0.054050971439216854,0.5096815282243619,0.5555460991924794,0.5265721272093491,0.6843744072385828,0.31891597361615087,0.5186224456010173,0.23253116664409526,7
0.57,0.35537583825894253,0.24346155009607456,0.40575552271591314,0.243852724421772,0.2947495583662928,0.17529706104547807,0.08261207873425747,0.27339536978399465,0.4402252404441412,0.24447367129196773,0.6337466346881104,0.21218431620466607,0.49478518278050293,0.18444502678744837,7
0.58,0.404298844239473,0.15726356954436313,0.44041565422697004,0.1635040214912221,0.31055955261366375,0.1338726755448325,0.08737598255370105,0.23298657824219618,0.43927055727996184,0.24582103670936317,0.6335121900361596,0.21036873836546138,0.47713008197081386,0.16168426664483898,7
0.59,0.4399300642003338,0.15393993487639082,0.43206938080542445,0.18080620154078847,0.30804146053347947,0.1427770208436693,0.13484033500507883,0.23029719989766656,0.43140713966244154,0.3138824429911538,0.6203354889659888,0.23314414194598718,0.47569788482008774,0.17579428848181597,7
