mode,target_rate,model,probability_rank_1,median_rank,rank_q025,rank_q975,dataset,family,task,metric_name,sota_model
leakage_curve,0.0,lgbm_advanced,0.005,3.5,1.9875000000000007,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.0,lgbm_basic,0.002,3.5,1.9875000000000007,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.0,torch_mlp_advanced,0.018,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.0,torch_mlp_basic,0.005,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.05,ecfp_linear,0.004,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.05,ecfp_rf,0.051,3.5,1.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.05,lgbm_advanced,0.005,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.05,lgbm_basic,0.005,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.05,torch_mlp_advanced,0.022,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.05,torch_mlp_basic,0.002,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.1,ecfp_linear,0.006,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.1,ecfp_rf,0.041,3.5,1.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.1,lgbm_advanced,0.01,3.5,1.5,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.1,lgbm_basic,0.004,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.1,torch_mlp_advanced,0.021,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.1,torch_mlp_basic,0.005,3.5,1.9875000000000007,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.25,ecfp_linear,0.002,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.25,ecfp_rf,0.028,3.5,1.0,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.25,lgbm_advanced,0.003,3.5,2.0,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.25,lgbm_basic,0.003,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.25,torch_mlp_advanced,0.02,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.25,torch_mlp_basic,0.006,3.5,2.0,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.5,ecfp_linear,0.005,3.5,1.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.5,ecfp_rf,0.023,3.5,1.5,5.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.5,lgbm_advanced,0.004,3.5,2.0,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.5,lgbm_basic,0.001,3.5,2.0,5.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.5,torch_mlp_advanced,0.005,3.5,2.0,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.5,torch_mlp_basic,0.0,3.5,2.5,6.0,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
leakage_curve,0.75,ecfp_linear,0.0,3.5,3.0,3.5,moleculenet/MoleculeNet-BBBP,moleculenet,classification,auroc,ecfp_rf
