mode,target_rate,mean_delta,median_delta,ci_lower,ci_upper,fraction_delta_positive,dataset,family,task,metric_name,sota_model,baseline_model
random_matched_control,0.05,0.3233715545771972,0.3466400913975843,-0.261807024908433,0.7992415289837845,0.848,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.1,0.3225251075925304,0.3502450010718099,-0.2342719394564881,0.8101298462007271,0.853,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.25,0.3185992226085114,0.3438064416565781,-0.2418705648781813,0.8145543160403931,0.853,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.5,0.3213733775862004,0.340836997546549,-0.2211157116535259,0.787908697670017,0.875,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,0.75,0.3255730143104275,0.3482196489378011,-0.2420087214120864,0.8110907456146201,0.871,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
random_matched_control,observed,0.333744480397237,0.3592695534902855,-0.2250272432277414,0.8055096213744912,0.864,moleculenet/MoleculeNet-FreeSolv,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
clean_reference,0.0,0.0037444958351359,0.0037444958351359,0.0037444958351359,0.0037444958351359,1.0,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.0,,,,,0.0,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.05,,,,,0.0,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.1,,,,,0.0,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.25,0.4118181818181818,0.5,-0.0909090909090909,0.7727272727272727,0.865,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.5,0.298375,0.3,0.05,0.55,0.99,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,0.75,0.1622222222222222,0.1666666666666666,0.0185185185185185,0.2777777777777778,0.983,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
conflict_curve,observed,,,,,0.0,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.0,0.0034570082449941,0.0010797016097369,-0.1469130349430704,0.1715793089909697,0.507,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.05,-0.0052923758865248,-0.0048758865248226,-0.1460992907801417,0.129078014184397,0.478,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.1,-0.0063423758865248,-0.0060283687943262,-0.1475221631205672,0.1328501773049644,0.47,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.25,-0.016093439716312,-0.0152482269503546,-0.1489893617021276,0.1056959219858155,0.41,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.5,-0.0463455673758865,-0.0444148936170213,-0.1633067375886524,0.0608200354609929,0.213,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,0.75,-0.0718262411347517,-0.061790780141844,-0.1452216312056736,-0.0118794326241135,0.019,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
leakage_curve,observed,0.0003281914893617,0.0016843971631205,-0.1627703900709219,0.1643971631205674,0.509,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
observed_composition,observed,0.007815390307066,0.007815390307066,0.007815390307066,0.007815390307066,1.0,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.0,0.0068134751773049,0.0064716312056737,-0.1454078014184395,0.1651196808510638,0.268,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.05,0.0084074468085106,0.0063829787234042,-0.151241134751773,0.1705718085106383,0.264,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.1,0.0124845744680851,0.0096631205673758,-0.1344148936170213,0.1686214539007092,0.2745,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.25,0.0056687943262411,0.0027482269503545,-0.1418484042553191,0.1676285460992906,0.2565,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.5,0.0067881205673758,0.0057624113475177,-0.1386746453900708,0.1569680851063829,0.261,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,0.75,0.0084998226950354,0.0069148936170213,-0.1383377659574468,0.1620789007092198,0.269,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
random_matched_control,observed,0.0081581560283687,0.0048758865248226,-0.1349512411347518,0.1667065602836879,0.2615,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced,ecfp_rf
clean_reference,0.0,0.088368068232993,0.088368068232993,0.088368068232993,0.088368068232993,1.0,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.0,0.0870136875006713,0.0885097230969266,0.0031650679645384,0.1711463916253322,0.98,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.05,0.0806693693237253,0.0795498906823099,0.0017469874259155,0.1629729393586426,0.978,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.1,0.0795953640986036,0.0786313392818499,-0.0013681925002293,0.1632761063549151,0.973,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.25,0.0686754845829924,0.0685854920545913,-0.015263842323714,0.1482879773201974,0.944,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.5,0.0438036673822163,0.0434133351771258,-0.0391429943961525,0.1272228977763427,0.865,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
leakage_curve,0.75,0.0166765590811896,0.0175383344718198,-0.0499519167965448,0.0793862441748132,0.689,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced,ecfp_rf
