dataset,task,mode,target_rate,mean_tau,median_tau,ci_lower,ci_upper
tdc/CYP2D6_Substrate_CarbonMangels,classification,clean_reference,0.0,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666
tdc/CYP2D6_Substrate_CarbonMangels,classification,leakage_curve,0.0,0.1959866594878748,0.3892494720807615,-0.7778790922919566,0.8563488385776752
tdc/CYP2D6_Substrate_CarbonMangels,classification,leakage_curve,observed,0.1781099156953827,0.3580574370197164,-0.7814897576474771,0.8563488385776752
tdc/CYP2D6_Substrate_CarbonMangels,classification,leakage_curve,0.75,,,,
tdc/CYP2D6_Substrate_CarbonMangels,classification,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/CYP2D6_Veith,classification,clean_reference,0.0,1.0,1.0,1.0,1.0
tdc/CYP2D6_Veith,classification,leakage_curve,0.0,0.808632758449746,0.8666666666666666,0.4666666666666666,1.0
tdc/CYP2D6_Veith,classification,leakage_curve,observed,0.7998327584497458,0.8666666666666666,0.4633333333333335,1.0
tdc/CYP2D6_Veith,classification,leakage_curve,0.75,0.6743696217944396,0.7333333333333333,0.0666666666666666,1.0
tdc/CYP2D6_Veith,classification,conflict_curve,observed,0.2003292272774582,0.3464101615137754,-0.7745966692414834,0.8563488385776752
tdc/CYP2D6_Veith,classification,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/CYP3A4_Substrate_CarbonMangels,classification,clean_reference,0.0,1.0,1.0,1.0,1.0
tdc/CYP3A4_Substrate_CarbonMangels,classification,leakage_curve,0.0,0.208078176958983,0.2335496832484569,-0.5678635860462223,0.894427190999916
tdc/CYP3A4_Substrate_CarbonMangels,classification,leakage_curve,observed,0.1904873529724136,0.2148344622118299,-0.5520524474738833,0.894427190999916
tdc/CYP3A4_Substrate_CarbonMangels,classification,leakage_curve,0.75,0.2982105674296054,0.401644403843087,-0.2581988897471611,0.8563488385776752
tdc/CYP3A4_Substrate_CarbonMangels,classification,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/CYP3A4_Veith,classification,clean_reference,0.0,1.0,1.0,1.0,1.0
tdc/CYP3A4_Veith,classification,leakage_curve,0.0,0.815783661130045,0.8666666666666666,0.4666666666666666,1.0
tdc/CYP3A4_Veith,classification,leakage_curve,observed,0.8183520524474739,0.8666666666666666,0.4666666666666666,1.0
tdc/CYP3A4_Veith,classification,leakage_curve,0.75,0.7904948260477136,0.8666666666666666,0.4666666666666666,1.0
tdc/CYP3A4_Veith,classification,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/Caco2_Wang,regression,clean_reference,0.0,1.0,1.0,1.0,1.0
tdc/Caco2_Wang,regression,leakage_curve,0.0,0.9494666666666668,1.0,0.8666666666666666,1.0
tdc/Caco2_Wang,regression,leakage_curve,observed,0.9289333333333334,1.0,0.7333333333333333,1.0
tdc/Caco2_Wang,regression,leakage_curve,0.75,0.8626666666666665,0.8666666666666666,0.6,1.0
tdc/Caco2_Wang,regression,conflict_curve,observed,0.704,0.7333333333333333,0.0666666666666666,1.0
tdc/Caco2_Wang,regression,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/Clearance_Hepatocyte_AZ,regression,clean_reference,0.0,0.7333333333333332,0.7333333333333333,0.7333333333333333,0.7333333333333333
tdc/Clearance_Hepatocyte_AZ,regression,leakage_curve,0.0,0.6182666666666666,0.7333333333333333,-0.0666666666666666,1.0
tdc/Clearance_Hepatocyte_AZ,regression,leakage_curve,observed,0.6509333333333331,0.7333333333333333,0.0666666666666666,1.0
tdc/Clearance_Hepatocyte_AZ,regression,leakage_curve,0.75,0.7677333333333333,0.7333333333333333,0.4666666666666666,1.0
tdc/Clearance_Hepatocyte_AZ,regression,conflict_curve,observed,0.8847999999999999,0.8666666666666666,0.6,1.0
tdc/Clearance_Hepatocyte_AZ,regression,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/Clearance_Microsome_AZ,regression,clean_reference,0.0,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666
tdc/Clearance_Microsome_AZ,regression,leakage_curve,0.0,0.7315999999999999,0.7333333333333333,-0.0666666666666666,1.0
tdc/Clearance_Microsome_AZ,regression,leakage_curve,observed,0.7234666666666666,0.7333333333333333,-0.0666666666666666,1.0
tdc/Clearance_Microsome_AZ,regression,leakage_curve,0.75,0.5841333333333332,0.7333333333333333,-0.2,1.0
tdc/Clearance_Microsome_AZ,regression,conflict_curve,observed,0.3274666666666666,0.4666666666666666,-0.7333333333333333,1.0
tdc/Clearance_Microsome_AZ,regression,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/HIA_Hou,classification,clean_reference,0.0,0.4666666666666667,0.4666666666666666,0.4666666666666666,0.4666666666666666
tdc/HIA_Hou,classification,leakage_curve,0.0,,,,
tdc/HIA_Hou,classification,leakage_curve,observed,,,,
tdc/HIA_Hou,classification,leakage_curve,0.75,,,,
tdc/HIA_Hou,classification,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/Half_Life_Obach,regression,clean_reference,0.0,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666
tdc/Half_Life_Obach,regression,leakage_curve,0.0,-0.0474666666666666,-0.0666666666666666,-0.7333333333333333,0.7333333333333333
tdc/Half_Life_Obach,regression,leakage_curve,observed,-0.0484,-0.0666666666666666,-0.7333333333333333,0.7333333333333333
tdc/Half_Life_Obach,regression,leakage_curve,0.75,0.6378666666666665,0.6,0.6,0.7333333333333333
tdc/Half_Life_Obach,regression,conflict_curve,observed,-0.0874666666666666,-0.0666666666666666,-0.8666666666666666,0.7333333333333333
tdc/Half_Life_Obach,regression,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/HydrationFreeEnergy_FreeSolv,regression,clean_reference,0.0,1.0,1.0,1.0,1.0
tdc/HydrationFreeEnergy_FreeSolv,regression,leakage_curve,0.0,0.3969333333333333,0.4666666666666666,-0.3333333333333333,0.8666666666666666
tdc/HydrationFreeEnergy_FreeSolv,regression,leakage_curve,observed,0.4313333333333332,0.4666666666666666,-0.3333333333333333,0.8666666666666666
tdc/HydrationFreeEnergy_FreeSolv,regression,leakage_curve,0.75,0.1171999999999999,0.0666666666666666,-0.4666666666666666,1.0
tdc/HydrationFreeEnergy_FreeSolv,regression,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/Lipophilicity_AstraZeneca,regression,clean_reference,0.0,1.0,1.0,1.0,1.0
tdc/Lipophilicity_AstraZeneca,regression,leakage_curve,0.0,0.8379999999999999,0.8666666666666666,0.4666666666666666,1.0
tdc/Lipophilicity_AstraZeneca,regression,leakage_curve,observed,0.8201333333333332,0.8666666666666666,0.4666666666666666,1.0
tdc/Lipophilicity_AstraZeneca,regression,leakage_curve,0.75,0.6953333333333332,0.7333333333333333,0.3333333333333333,1.0
tdc/Lipophilicity_AstraZeneca,regression,conflict_curve,observed,0.0635999999999999,0.0666666666666666,-0.7366666666666665,0.7333333333333333
tdc/Lipophilicity_AstraZeneca,regression,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/PAMPA_NCATS,classification,clean_reference,0.0,0.4666666666666667,0.4666666666666666,0.4666666666666666,0.4666666666666666
tdc/PAMPA_NCATS,classification,leakage_curve,0.0,0.2231146160846174,0.2760262237369416,-0.7333333333333333,0.8666666666666666
tdc/PAMPA_NCATS,classification,leakage_curve,observed,0.2372288643076119,0.3333333333333333,-0.6,0.8666666666666666
tdc/PAMPA_NCATS,classification,leakage_curve,0.75,-0.0805444831966789,-0.0666666666666666,-0.8666666666666666,0.6900655593423543
tdc/PAMPA_NCATS,classification,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/PPBR_AZ,regression,clean_reference,0.0,1.0,1.0,1.0,1.0
tdc/PPBR_AZ,regression,leakage_curve,0.0,0.8805333333333333,0.8666666666666666,0.6,1.0
tdc/PPBR_AZ,regression,leakage_curve,observed,0.8738666666666666,0.8666666666666666,0.6,1.0
tdc/PPBR_AZ,regression,leakage_curve,0.75,0.8013333333333332,0.8666666666666666,0.4666666666666666,1.0
tdc/PPBR_AZ,regression,conflict_curve,observed,0.3607999999999999,0.4666666666666666,-0.7333333333333333,1.0
tdc/PPBR_AZ,regression,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/Pgp_Broccatelli,classification,clean_reference,0.0,0.7333333333333332,0.7333333333333333,0.7333333333333333,0.7333333333333333
tdc/Pgp_Broccatelli,classification,leakage_curve,0.0,0.657563764720866,0.7333333333333333,0.0666666666666666,1.0
tdc/Pgp_Broccatelli,classification,leakage_curve,observed,0.6645365300462256,0.7333333333333333,0.0666666666666666,1.0
tdc/Pgp_Broccatelli,classification,leakage_curve,0.75,0.5160962024662825,0.6,-0.6024640760767093,1.0
tdc/Pgp_Broccatelli,classification,observed_composition,observed,1.0,1.0,1.0,1.0
tdc/Solubility_AqSolDB,regression,clean_reference,0.0,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666
