dataset,family,task,metric,model,perf_delta_075_minus_0,score_delta_075_minus_0
tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_basic,0.09182621716739348,0.09182621716739348
tdc/CYP2C9_Veith,tdc,classification,auroc,torch_mlp_advanced,0.11690545839957611,0.11690545839957611
tdc/CYP2C9_Veith,tdc,classification,auroc,torch_mlp_basic,0.12426100648159466,0.12426100648159466
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_linear,,
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,,
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_advanced,,
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,,
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_advanced,,
tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,,
tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_linear,0.10537300952936779,0.10537300952936779
tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf,0.06329712837147272,0.06329712837147272
tdc/CYP2D6_Veith,tdc,classification,auroc,lgbm_advanced,0.07018914321883152,0.07018914321883152
tdc/CYP2D6_Veith,tdc,classification,auroc,lgbm_basic,0.06959353930655265,0.06959353930655265
tdc/CYP2D6_Veith,tdc,classification,auroc,torch_mlp_advanced,0.10563730504106561,0.10563730504106561
tdc/CYP2D6_Veith,tdc,classification,auroc,torch_mlp_basic,0.10314151067837363,0.10314151067837363
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_linear,-0.05076388888888894,-0.05076388888888894
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf,0.011083333333333223,0.011083333333333223
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_advanced,-0.008305555555555566,-0.008305555555555566
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic,0.0195277777777777,0.0195277777777777
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_advanced,-0.03995833333333332,-0.03995833333333332
tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic,-0.028374999999999928,-0.028374999999999928
tdc/CYP3A4_Veith,tdc,classification,auroc,ecfp_linear,0.1389461198842986,0.1389461198842986
tdc/CYP3A4_Veith,tdc,classification,auroc,ecfp_rf,0.09716113469777177,0.09716113469777177
tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_advanced,0.09106427141618223,0.09106427141618223
tdc/CYP3A4_Veith,tdc,classification,auroc,lgbm_basic,0.09293995970820357,0.09293995970820357
tdc/CYP3A4_Veith,tdc,classification,auroc,torch_mlp_advanced,0.1186183353256215,0.1186183353256215
tdc/CYP3A4_Veith,tdc,classification,auroc,torch_mlp_basic,0.10968502997788376,0.10968502997788376
tdc/Caco2_Wang,tdc,regression,rmse,ecfp_linear,0.2906968328521393,-0.2906968328521393
