mode,original_observed_rate,smallest_target_rate_sota_rank_probability_below_0_5,smallest_target_rate_sota_baseline_ci_includes_zero,smallest_target_rate_fraction_delta_positive_below_0_95,interpretation,interpretation_text,dataset,family,task,metric_name,sota_model
observed_composition,observed,,,,stable,SOTA conclusion is stable.,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,moleculenet/MoleculeNet-HIV,moleculenet,classification,auroc,lgbm_advanced
clean_reference,,,,,stable,SOTA conclusion is stable.,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced
leakage_curve,observed,0.1,0.1,0.25,rank-fragile,SOTA conclusion is rank-fragile.,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,moleculenet/MoleculeNet-Lipophilicity,moleculenet,regression,rmse,lgbm_advanced
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/BBB_Martins,tdc,classification,auroc,lgbm_basic
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/Bioavailability_Ma,tdc,classification,auroc,ecfp_linear
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced
leakage_curve,observed,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP1A2_Veith,tdc,classification,auroc,lgbm_advanced
clean_reference,,0.0,,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2C19_Veith,tdc,classification,auroc,lgbm_advanced
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2C9_Substrate_CarbonMangels,tdc,classification,auroc,lgbm_basic
clean_reference,,,,,stable,SOTA conclusion is stable.,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced
leakage_curve,observed,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2C9_Veith,tdc,classification,auroc,lgbm_advanced
clean_reference,,0.0,,,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2D6_Substrate_CarbonMangels,tdc,classification,auroc,torch_mlp_basic
clean_reference,,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf
conflict_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf
leakage_curve,observed,0.75,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf
random_matched_control,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP2D6_Veith,tdc,classification,auroc,ecfp_rf
clean_reference,,,0.0,0.0,statistically indistinguishable,SOTA conclusion is statistically indistinguishable.,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf
leakage_curve,observed,0.0,0.0,0.0,rank-fragile,SOTA conclusion is rank-fragile.,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf
observed_composition,observed,,,,stable,SOTA conclusion is stable.,tdc/CYP3A4_Substrate_CarbonMangels,tdc,classification,auroc,ecfp_rf
