fraction,pearson_r_mean,pearson_r_std,spearman_r_mean,spearman_r_std,kendall_tau_mean,kendall_tau_std,r2_mean,r2_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,n_points
0.1,0.4558099616971541,0.2009861340843352,0.45844126586238526,0.21830389139828257,0.335000992348803,0.16826147663670013,0.2084193499634988,0.24297990087762855,0.3919259302711665,0.2150722282949322,0.594621216376497,0.2115265054875755,0.4629728255466989,0.17016196228142724,7
0.11,0.5387942571182865,0.1521679862367101,0.5454587282392506,0.16347416177690777,0.40051092216674533,0.13680536934742493,0.2976085633723832,0.19351872915787077,0.3469646985611147,0.19209577943268746,0.560324145192203,0.19621877931286816,0.43203267229236975,0.15093375514045027,7
0.12,0.4716818169781596,0.20203258867032983,0.48435920773004487,0.21284271514853376,0.34913942337759035,0.16604457741837614,0.2101159546845152,0.26123353863555815,0.38797900372937283,0.20964105684072212,0.5921612199155893,0.2086738497840498,0.4576889409319515,0.16734558979777048,7
0.13,0.4414465147679724,0.21542223631233448,0.4362187953469966,0.23403283530601826,0.31594023000677013,0.1789557647251057,0.19040110935830393,0.2587267770957077,0.4018399814568597,0.2266546805968692,0.6012446822042768,0.21695379502156853,0.46531064483949514,0.1685208341485379,7
0.14,0.4814163395466126,0.18393826617538625,0.5014116875325833,0.18718761388413002,0.3585908713007145,0.15137822752299987,0.22604726087512178,0.22197663416936123,0.3801475999157123,0.20113478024006617,0.5872878345113055,0.20276595516963902,0.4478811863906134,0.15452370533734075,7
0.15,0.48051837166755274,0.1715246067739106,0.47436827485984884,0.17844698473449555,0.3459195066144431,0.1399720793488266,0.23419609058464383,0.21276082256191978,0.3808120619633649,0.2185565796209321,0.5859132791699233,0.2092143393707305,0.4517579263656435,0.16081474198907983,7
0.16,0.45339132370877777,0.19708853354835057,0.4537196863170391,0.199294718436717,0.326490715072782,0.1559419498465891,0.21232541963556364,0.22902244954700682,0.39458557158565916,0.2396338723614046,0.5947849402931301,0.21821821062990215,0.46367370872150565,0.17274968683839295,7
0.17,0.44863042187186236,0.279099839681871,0.4784796975578897,0.2130999161259226,0.3445126320689424,0.16889927752013215,0.17649806533490559,0.35668418996358325,0.4344733247317864,0.37071703730322836,0.6096654601085854,0.2706379686274062,0.4685833288529504,0.19110699797131933,7
0.18,0.4977889824865017,0.1552097617594482,0.48492470246947417,0.18088328579068955,0.34603368367274123,0.14458873005073497,0.22679447938697042,0.2209433748604983,0.38547152464480583,0.22572771585007895,0.5888518245424563,0.21255406121925124,0.45808843674781013,0.1625013699565724,7
0.19,0.5018036838251128,0.15362394012752312,0.49945937465581114,0.15727674383660775,0.3620265257003383,0.1286796789596433,0.2582475183133799,0.1861436336324208,0.363336222161752,0.1959065204010967,0.5750283231854959,0.19525647572428143,0.43605437349024345,0.13978015925880963,7
