task_type,model,scenario,fraction,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,average_precision_mean,average_precision_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std,n_eval_rows_mean,n_eval_rows_std,positive_rate_mean,positive_rate_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,median_ae_mean,median_ae_std,r2_mean,r2_std,explained_variance_mean,explained_variance_std,pearson_mean,pearson_std,spearman_mean,spearman_std,kendall_tau_mean,kendall_tau_std,max_error_mean,max_error_std,n_eval_rows_mean,n_eval_rows_std
classification,lgbm,conflicts,0.02,0.8268570929366404,0.11658970462155999,0.7899963669454284,0.18632804036192702,0.7899963669454284,0.18632804036192702,0.7407263402776981,0.11189052366026574,0.7995546644241356,0.10264268625725874,0.7177571200217697,0.18788743582413167,0.7717798842062233,0.15714686106624842,0.6991380193831829,0.2214241207142135,0.5128900387197417,0.2128660899462964,0.501810062356077,0.21053190277996847,0.14676868468846122,0.06756012606268957,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,conflicts,0.05,0.8248910789396608,0.11482409051268284,0.7884235074350826,0.1868000286846624,0.7884235074350826,0.1868000286846624,0.7414518622072848,0.11091054296272247,0.8005651993067654,0.10013692831902893,0.7170989938662246,0.18939847048214076,0.7705857131549751,0.1563563136818006,0.698275565492864,0.22386132097799485,0.5146693789376947,0.2102741503489875,0.4808681269396602,0.19476034798132333,0.14547792335803175,0.06491265048478266,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,conflicts,0.1,0.8148086218530064,0.11633855414393096,0.7784630796802768,0.18826313140089734,0.7784630796802768,0.18826313140089734,0.7331890193615452,0.11228286936680268,0.792989218043542,0.10205168458295301,0.7060342973098803,0.1967081121640469,0.7615210174932951,0.1653693886658063,0.6872255671340036,0.23015320111457307,0.4964281177334313,0.2137853390455576,0.47763017402329666,0.17425843373681996,0.14838470741364296,0.0620962728006953,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,conflicts,0.2,0.8069740415898554,0.11715124281799687,0.770459403595835,0.1871553350814165,0.770459403595835,0.1871553350814165,0.7295929652733137,0.11286304769622714,0.788435405711964,0.10549580582709983,0.7012495249023197,0.19781989482338572,0.7593810018037751,0.16136679162105552,0.6844853908804416,0.22960288292899514,0.48780035510172404,0.21229272306365898,0.47759355556607636,0.14108927245332623,0.15256299537326992,0.05595467063631114,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,conflicts,0.5,0.7755119733713507,0.11625243858937875,0.7413961981058248,0.1866924607688379,0.7413961981058248,0.1866924607688379,0.7061689247688185,0.10264808341018135,0.7626200546965339,0.0999056045852912,0.6767480381554577,0.18343131005201366,0.7325269011484484,0.15909153131201542,0.6569063497811075,0.20652532717470232,0.4312556494879912,0.1985685846744722,0.5489673732084511,0.08060065187139688,0.18237998288997778,0.03570511618630441,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,conflicts,1.0,0.5,0.0,0.46397349920685854,0.1868949880801639,0.46397349920685854,0.1868949880801639,0.5,0.0,0.46397349920685854,0.1868949880801639,0.6110999716040085,0.1842181108066633,0.46397349920685854,0.1868949880801639,1.0,0.0,0.0,0.0,0.6931471805599453,1.0962573991985801e-16,0.25,0.0,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,contamination,0.0,0.830319432118475,0.11725531037711118,0.7942743340121021,0.18352460156737146,0.7942743340121021,0.18352460156737146,0.7432637512498305,0.11161436374394432,0.8011948946908474,0.10403669348361812,0.7211739242792529,0.1869162286342268,0.7708427241544474,0.15921440732663275,0.7029906334250682,0.21936732891928015,0.5183543557380074,0.2144972913257555,0.5263277655871877,0.2256717933706979,0.14714474405852254,0.06930102180982346,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,contamination,0.01,0.8448490241364591,0.09841070522371101,0.808697281693492,0.16975110089523837,0.808697281693492,0.16975110089523837,0.758187127764795,0.10022458515189289,0.8159689037037369,0.08657895613285096,0.7404474957630184,0.16934185111639127,0.7877838315337249,0.14115372094629858,0.7197209127181123,0.20343110758918595,0.5498292105516678,0.18909172368493948,0.50302530745009,0.20637812789174803,0.13920036818444634,0.061012122660988995,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,contamination,0.02,0.849785000345716,0.09421034582910734,0.8143385251190766,0.16499664159916616,0.8143385251190766,0.16499664159916616,0.7618833409642864,0.09871585971220453,0.8185216777756903,0.08332100621892373,0.7457970300673128,0.16558357551388445,0.7894552077326791,0.1387251324922895,0.7278059884453734,0.197414880249144,0.554732021584125,0.18440540455280222,0.4957027348546689,0.19985145424874384,0.13674016248773313,0.05833124598337315,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
classification,lgbm,contamination,0.05,0.860246646503513,0.09083912685016227,0.8278872888208532,0.1573890761719143,0.8278872888208532,0.1573890761719143,0.7753036560096718,0.09593789812952762,0.8297068202634464,0.07857987259872845,0.7627733247500391,0.15850603239376976,0.797537857973158,0.13482964270296627,0.7466867506852188,0.18661393636115076,0.5795111475148208,0.17923392412900724,0.4670137043394406,0.1883887576810338,0.12869718365413654,0.05593529003800649,1777.4074074074074,1981.411433661481,0.46397349920685854,0.1868949880801639,,,,,,,,,,,,,,,,,,,,,1777.4074074074074,1981.411433661481
