family,dataset,task_type,model,scenario,fraction,seed,n_train_original,n_train_noisy,n_test,n_conflicts_added,roc_auc,pr_auc,average_precision,balanced_accuracy,accuracy,f1,precision,recall,mcc,log_loss,brier_score,n_eval_rows,positive_rate,mse,rmse,mae,median_ae,r2,explained_variance,pearson,spearman,kendall_tau,max_error,error,n_cliffs_modified,n_cliff_candidates,n_contamination_added,n_random_labels_modified
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0.02,0,1332,1335,149,,0.8858049167327517,0.7984552606204873,0.7984552606204873,0.7842981760507534,0.8120805369127517,0.72,0.75,0.6923076923076923,0.5799763740328459,0.4625527218502713,0.13446067893187916,149.0,0.348993288590604,,,,,,,,,,,,,,3.0,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0.02,0,1332,1335,149,,0.8283108643933386,0.734228779155967,0.734228779155967,0.7585249801744647,0.7785234899328859,0.6857142857142857,0.6792452830188679,0.6923076923076923,0.5148094339273658,1.2383039413452874,0.20198195205376523,149.0,0.348993288590604,,,,,,,,,,,,,,3.0,
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0.05,0,1332,1340,149,,0.8828310864393338,0.7819870337883345,0.7819870337883345,0.8086835844567803,0.8322147651006712,0.7524752475247525,0.7755102040816326,0.7307692307692307,0.626373000303778,0.4170694285550894,0.12958652344004967,149.0,0.348993288590604,,,,,,,,,,,,,,8.0,
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0.05,0,1332,1340,149,,0.884020618556701,0.8027140567447943,0.8027140567447943,0.793913560666138,0.8187919463087249,0.7326732673267327,0.7551020408163265,0.7115384615384616,0.596402037861497,0.4665485623873743,0.13346789765876052,149.0,0.348993288590604,,,,,,,,,,,,,,8.0,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0.05,0,1332,1340,149,,0.8431800158604282,0.7525856989771125,0.7525856989771125,0.7585249801744647,0.7785234899328859,0.6857142857142857,0.6792452830188679,0.6923076923076923,0.5148094339273658,1.1779241908263702,0.18914764230349618,149.0,0.348993288590604,,,,,,,,,,,,,,8.0,
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0.1,0,1332,1347,149,,0.876486915146709,0.754844429613207,0.754844429613207,0.7842981760507534,0.8120805369127517,0.72,0.75,0.6923076923076923,0.5799763740328459,0.4288026427415556,0.13423195045157027,149.0,0.348993288590604,,,,,,,,,,,,,,15.0,
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0.1,0,1332,1347,149,,0.8834258524980174,0.7948942647559749,0.7948942647559749,0.8035289452815226,0.825503355704698,0.7450980392156863,0.76,0.7307692307692307,0.6127947669858658,0.47262320560221877,0.1340706753191656,149.0,0.348993288590604,,,,,,,,,,,,,,15.0,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0.1,0,1332,1347,149,,0.8402061855670103,0.7379453732840253,0.7379453732840253,0.753370340999207,0.7718120805369127,0.6792452830188679,0.6666666666666666,0.6923076923076923,0.5024751956652774,1.1869876207723227,0.19600575940134113,149.0,0.348993288590604,,,,,,,,,,,,,,15.0,
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0.2,0,1332,1362,149,,0.901268834258525,0.8012914345932328,0.8012914345932328,0.8323750991276764,0.8456375838926175,0.780952380952381,0.7735849056603774,0.7884615384615384,0.6618696441558503,0.38899861549096093,0.1142857014149932,149.0,0.348993288590604,,,,,,,,,,,,,,30.0,
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0.2,0,1332,1362,149,,0.9060269627279937,0.849479215346496,0.849479215346496,0.8286082474226804,0.8523489932885906,0.78,0.8125,0.75,0.670370181282735,0.410180125254897,0.11860297363458253,149.0,0.348993288590604,,,,,,,,,,,,,,30.0,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0.2,0,1332,1362,149,,0.8703409992069786,0.775738418941716,0.775738418941716,0.7777557494052338,0.7919463087248322,0.7102803738317757,0.6909090909090909,0.7307692307692307,0.5487004551580965,1.070365578660057,0.18226826567032872,149.0,0.348993288590604,,,,,,,,,,,,,,30.0,
moleculenet,MoleculeNet-BACE,classification,rf,contamination,0.5,0,1332,1407,149,,0.9569785884218873,0.9276027420702633,0.9276027420702633,0.9165344964314036,0.9261744966442953,0.8932038834951457,0.9019607843137255,0.8846153846153846,0.8368938631255209,0.266594840588412,0.06996883625573037,149.0,0.348993288590604,,,,,,,,,,,,,,75.0,
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,0.5,0,1332,1407,149,,0.954203013481364,0.9078589471200315,0.9078589471200315,0.9024583663758922,0.9194630872483222,0.88,0.9166666666666666,0.8461538461538461,0.8210265266992168,0.250506605071463,0.06711599309912931,149.0,0.348993288590604,,,,,,,,,,,,,,75.0,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,0.5,0,1332,1407,149,,0.9270420301348137,0.881678374860041,0.881678374860041,0.8663758921490881,0.87248322147651,0.822429906542056,0.8,0.8461538461538461,0.7237676239344485,0.565467252587513,0.0992468590851779,149.0,0.348993288590604,,,,,,,,,,,,,,75.0,
moleculenet,MoleculeNet-BACE,classification,rf,contamination,1.0,0,1332,1481,149,,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.10735927316720992,0.01834302634849635,149.0,0.348993288590604,,,,,,,,,,,,,,149.0,
moleculenet,MoleculeNet-BACE,classification,lgbm,contamination,1.0,0,1332,1481,149,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04835647856519545,0.006500534296248879,149.0,0.348993288590604,,,,,,,,,,,,,,149.0,
moleculenet,MoleculeNet-BACE,classification,torch_mlp,contamination,1.0,0,1332,1481,149,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008384144307052711,4.61427545461276e-06,149.0,0.348993288590604,,,,,,,,,,,,,,149.0,
moleculenet,MoleculeNet-BACE,classification,rf,random_label_noise,0.0,0,1332,1332,149,,0.8767842981760507,0.7637717742575636,0.7637717742575636,0.8079896907216495,0.825503355704698,0.75,0.75,0.75,0.615979381443299,0.4313572296262526,0.13674812608369222,149.0,0.348993288590604,,,,,,,,,,,,,,,0.0
moleculenet,MoleculeNet-BACE,classification,lgbm,random_label_noise,0.0,0,1332,1332,149,,0.883624107850912,0.7943591206475977,0.7943591206475977,0.793913560666138,0.8187919463087249,0.7326732673267327,0.7551020408163265,0.7115384615384616,0.596402037861497,0.4733323766866657,0.13708266974872513,149.0,0.348993288590604,,,,,,,,,,,,,,,0.0
moleculenet,MoleculeNet-BACE,classification,torch_mlp,random_label_noise,0.0,0,1332,1332,149,,0.8298969072164949,0.7288894405549033,0.7288894405549033,0.7386003172085647,0.7583892617449665,0.660377358490566,0.6481481481481481,0.6730769230769231,0.47318380123878045,1.2486778332624118,0.20785876747698875,149.0,0.348993288590604,,,,,,,,,,,,,,,0.0
moleculenet,MoleculeNet-BACE,classification,rf,random_label_noise,0.01,0,1332,1332,149,,0.8708366375892149,0.758604964504865,0.758604964504865,0.7887589214908803,0.8120805369127517,0.7254901960784313,0.74,0.7115384615384616,0.5829755572272459,0.43656670404863485,0.13606394502835312,149.0,0.348993288590604,,,,,,,,,,,,,,,14.0
moleculenet,MoleculeNet-BACE,classification,lgbm,random_label_noise,0.01,0,1332,1332,149,,0.8675654242664552,0.7576007994977009,0.7576007994977009,0.749603489294211,0.7785234899328859,0.6732673267326733,0.6938775510204082,0.6538461538461539,0.5064891505346542,0.4894817178241818,0.14590036049494962,149.0,0.348993288590604,,,,,,,,,,,,,,,14.0
moleculenet,MoleculeNet-BACE,classification,torch_mlp,random_label_noise,0.01,0,1332,1332,149,,0.8187946074544012,0.7079727443909964,0.7079727443909964,0.7526764472640761,0.7651006711409396,0.6788990825688074,0.6491228070175439,0.7115384615384616,0.4956224326616852,1.2529206567024427,0.20966694033814234,149.0,0.348993288590604,,,,,,,,,,,,,,,14.0
moleculenet,MoleculeNet-BACE,classification,rf,random_label_noise,0.02,0,1332,1332,149,,0.8741078509119746,0.766239071790248,0.766239071790248,0.8079896907216495,0.825503355704698,0.75,0.75,0.75,0.615979381443299,0.4288123219966874,0.13439842105089614,149.0,0.348993288590604,,,,,,,,,,,,,,,27.0
